14;3;108;20;8;1;1;ref;1;1;
7;1;111;20;7;0;1;ref;1;0;
41;6;90;16;6;1;1;ref;11;1;
9;1;86;15;5;1;1;ref;11;0;
27;3;76;13;4;0;1;ref;8;0;
20;2;69;12;3;0;1;ref;7;0;
9;1;58;11;2;1;0;ref;1;0;
8;1;48;9;1;1;0;ref;2;0;
8;1;24;5;8;0;1;ref;3;0;
10;2;5;2;8;1;1;ref;4;0;
14;3;127;26;10;0;0;per;1;1;
7;1;120;24;9;0;0;per;1;0;
41;6;98;19;8;0;0;per;11;1;
9;1;94;18;7;0;0;per;11;0;
27;3;84;16;6;0;0;per;8;0;
20;2;77;15;5;0;0;per;7;0;
9;1;66;14;4;0;1;per;1;0;
8;1;56;12;3;0;1;per;2;0;
8;1;32;8;2;0;0;per;3;0;
10;2;13;5;1;0;0;per;4;0;
11;1;17;3;0;0;0;per;1;0;
14;3;263;59;18;0;0;per;1;1;
7;1;256;57;17;0;0;per;1;0;
41;6;234;52;16;0;0;per;11;1;
9;1;230;51;15;0;0;per;11;0;
27;3;220;49;14;0;0;per;8;0;
20;2;213;48;13;0;0;per;7;0;
9;1;202;47;12;0;1;per;1;0;
8;1;192;45;11;0;1;per;2;0;
8;1;168;41;10;0;0;per;3;0;
10;2;149;38;9;0;0;per;4;0;
11;1;108;27;8;0;0;per;1;0;
4;1;34;10;7;0;1;per;5;0;
5;1;13;3;6;0;0;per;2;0;
5;1;7;3;5;0;0;per;2;0;
24;4;14;3;4;0;0;per;11;0;
9;1;20;3;3;0;0;per;11;0;
10;1;12;3;2;0;0;per;1;0;
19;3;11;3;1;0;0;per;3;0;
19;2;6;2;6;0;0;per;1;0;
11;1;319;80;13;1;1;per;1;0;
4;1;245;63;12;0;0;per;5;0;
5;1;164;41;11;1;1;per;2;0;
5;1;151;38;10;1;1;per;2;0;
24;4;134;31;9;1;1;per;11;0;
9;1;130;30;8;1;1;per;11;0;
10;1;120;28;7;0;1;per;1;0;
19;3;96;23;6;1;1;per;3;0;
19;2;68;18;5;1;1;per;1;0;
6;1;62;16;4;1;1;per;3;1;
6;1;54;16;3;0;1;per;1;0;
30;6;57;16;2;1;0;per;1;0;
